Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano,
"C1, C4, C5",C_Disc_D3.8mm_W2.6mm_P2.50mm,3,100nF,
C2,CP_Radial_D5.0mm_P2.50mm,1,100uF/16V,
C3,CP_Radial_D5.0mm_P2.50mm,1,47uF/10V,
D1,LED_D3.0mm,1,LED_RED,
D2,LED_D3.0mm,1,LED_GRN,
J1,PinHeader_1x07_P2.54mm_Vertical,1,CANNON_7PIN,
J2,PinHeader_1x10_P2.54mm_Vertical,1,PANEL_10PIN,
PS1,PinHeader_1x05_P2.54mm_Vertical,1,LM2596-5V,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4k7,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,330R,
U1,DIP-8_W7.62mm,1,6N137,
U2,DIP-16_W7.62mm,1,ULN2003A,
